epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6292,1.791,3.30762,1.85302,0.06053,0.62648,0.28692,0.1315,1.51056,3.17888,1.76477,0.0001875,0.0001875,0.0001875
2,21.3165,1.8837,2.49417,1.8558,0.09108,0.39392,0.23143,0.09175,1.9042,2.89518,1.89089,0.000382705,0.000382705,0.000382705
3,29.3911,1.84231,2.22095,1.84721,0.78302,0.30914,0.28908,0.11599,2.07796,2.26909,1.98749,0.000572959,0.000572959,0.000572959
4,38.1972,1.83049,2.0125,1.87467,0.8042,0.33333,0.33512,0.13846,1.96619,1.94959,1.96935,0.000758264,0.000758264,0.000758264
5,47.0178,1.75655,1.89761,1.83921,0.35828,0.46459,0.36148,0.14405,2.05075,1.84603,2.02696,0.000938619,0.000938619,0.000938619
6,55.0247,1.73725,1.79062,1.7924,0.36913,0.40905,0.35886,0.15069,1.93374,2.24475,1.96934,0.00111402,0.00111402,0.00111402
7,63.7303,1.77482,1.82726,1.82948,0.4297,0.36513,0.34616,0.15099,1.92144,2.01672,2.0037,0.00115719,0.00115719,0.00115719
8,72.461,1.72519,1.76769,1.79101,0.34709,0.42237,0.30096,0.12047,1.98165,2.45958,2.04947,0.00114172,0.00114172,0.00114172
9,80.2376,1.68585,1.74565,1.75311,0.36437,0.43935,0.34366,0.13405,2.00792,2.11671,2.04805,0.00112625,0.00112625,0.00112625
10,89.454,1.66426,1.69659,1.71953,0.35891,0.47928,0.37114,0.15218,1.92023,1.75166,1.93062,0.00111078,0.00111078,0.00111078
11,97.3621,1.64893,1.67681,1.70168,0.37623,0.50726,0.39287,0.16612,1.89453,1.68371,1.8926,0.00109531,0.00109531,0.00109531
12,107.111,1.63545,1.61534,1.67399,0.4368,0.44866,0.38453,0.16239,1.94887,1.73035,1.89449,0.00107984,0.00107984,0.00107984
13,116.541,1.58858,1.54344,1.65898,0.46187,0.35523,0.38923,0.16527,1.90935,1.68296,1.89986,0.00106437,0.00106437,0.00106437
14,123.594,1.60309,1.5844,1.66174,0.40914,0.4863,0.40291,0.17625,1.87673,1.63672,1.89671,0.00104891,0.00104891,0.00104891
15,132.317,1.55222,1.51748,1.64318,0.41862,0.44289,0.41278,0.17374,1.94094,1.67787,1.97342,0.00103344,0.00103344,0.00103344
16,140.053,1.60384,1.56462,1.68546,0.33642,0.40775,0.33601,0.14438,1.88604,1.75454,1.96777,0.00101797,0.00101797,0.00101797
17,148.688,1.57025,1.50559,1.64243,0.36568,0.48859,0.40632,0.16977,1.92115,1.64633,2.01213,0.0010025,0.0010025,0.0010025
18,155.822,1.59505,1.50433,1.64343,0.47185,0.44702,0.42214,0.18887,1.93352,1.59061,1.95467,0.000987031,0.000987031,0.000987031
19,164.782,1.56547,1.48564,1.60617,0.4521,0.38074,0.38461,0.17084,1.991,1.65917,1.9759,0.000971562,0.000971562,0.000971562
20,174.452,1.49899,1.45846,1.59203,0.48504,0.46296,0.47402,0.19871,1.88965,1.51393,1.83744,0.000956094,0.000956094,0.000956094
21,181.797,1.51238,1.42383,1.58232,0.45477,0.46894,0.42825,0.18904,1.89921,1.56633,1.82806,0.000940625,0.000940625,0.000940625
22,190.868,1.53387,1.44184,1.59661,0.41225,0.41465,0.38385,0.15391,1.97453,1.66518,1.94156,0.000925156,0.000925156,0.000925156
23,198.073,1.48831,1.36322,1.56502,0.45898,0.50157,0.40452,0.17277,1.97981,1.70438,1.92784,0.000909688,0.000909688,0.000909688
